 8.915002+2 5.000000-1 1.262900-1 9.435000-2 3.060000-2 1.337600-39440 2151   68
 9.039001+2 5.000000-1 5.328200-2 2.195000-2 3.060000-2 7.322500-49440 2151   69
 9.089001+2 5.000000-1 1.097100-1 7.899000-2 3.060000-2 1.237500-49440 2151   70
 9.153002+2 5.000000-1 6.694000-2 3.600000-2 3.060000-2 3.398100-49440 2151   71
 9.435002+2 5.000000-1 1.538000-1 1.228700-1 3.060000-2 3.294600-49440 2151   72
 9.584002+2 5.000000-1 1.022100-1 7.151000-2 3.060000-2 1.035900-49440 2151   73
 9.713002+2 5.000000-1 1.113000-1 8.041000-2 3.060000-2 2.905100-49440 2151   74
 9.792001+2 5.000000-1 4.186600-2 7.200000-3 3.060000-2 4.066200-39440 2151   75
 1.001800+3 5.000000-1 1.297500-1 9.812000-2 3.060000-2 1.031300-39440 2151   76
 1.024100+3 5.000000-1 3.849000-2 5.120000-3 3.060000-2 2.770000-39440 2151   77
 1.041600+3 5.000000-1 4.384100-2 1.259000-2 3.060000-2 6.510600-49440 2151   78
 1.045700+3 5.000000-1 4.094000-2 3.880000-3 3.060000-2 6.460000-39440 2151   79
 1.072600+3 5.000000-1 1.402500-1 1.093900-1 3.060000-2 2.587200-49440 2151   80
 1.099800+3 5.000000-1 1.151200-1 8.423000-2 3.060000-2 2.925700-49440 2151   81
 1.115700+3 5.000000-1 3.327000-2 2.670000-3 3.060000-2 0.000000+09440 2151   82
 1.128800+3 5.000000-1 8.139400-2 5.006000-2 3.060000-2 7.340500-49440 2151   83
 1.133900+3 5.000000-1 3.757000-2 6.730000-3 3.060000-2 2.396900-49440 2151   84
 1.142700+3 5.000000-1 7.128800-2 4.056000-2 3.060000-2 1.279700-49440 2151   85
 1.159600+3 5.000000-1 5.302200-2 2.210000-2 3.060000-2 3.219300-49440 2151   86
 1.185500+3 5.000000-1 1.880900-1 1.573500-1 3.060000-2 1.382300-49440 2151   87
 1.190800+3 5.000000-1 1.457100-1 1.149100-1 3.060000-2 1.964700-49440 2151   88
 1.208900+3 5.000000-1 9.365100-2 6.293000-2 3.060000-2 1.214000-49440 2151   89
 1.228000+3 5.000000-1 4.116000-2 1.016000-2 3.060000-2 4.000000-49440 2151   90
 1.236500+3 5.000000-1 4.226500-2 1.125000-2 3.060000-2 4.150200-49440 2151   91
 1.254700+3 5.000000-1 1.092000-1 7.687000-2 3.060000-2 1.727700-39440 2151   92
 1.281400+3 5.000000-1 3.531000-2 4.300000-3 3.060000-2 4.100000-49440 2151   93
 1.300300+3 5.000000-1 2.764900-1 2.448500-1 3.060000-2 1.044900-39440 2151   94
 1.328100+3 5.000000-1 4.005200-1 3.691700-1 3.060000-2 7.460100-49440 2151   95
 1.345000+3 5.000000-1 5.709300-2 2.604000-2 3.060000-2 4.534400-49440 2151   96
 1.350900+3 5.000000-1 3.908000-2 8.450000-3 3.060000-2 3.000000-59440 2151   97
 1.362900+3 5.000000-1 3.923600-2 7.380000-3 3.060000-2 1.256500-39440 2151   98
 1.377000+3 5.000000-1 9.626100-2 6.457000-2 3.060000-2 1.091200-39440 2151   99
 1.389000+3 5.000000-1 5.066200-2 1.416000-2 3.060000-2 5.902100-39440 2151  100
 1.402200+3 5.000000-1 2.173400+0 9.830000-3 3.060000-2 2.132900+09440 2151  101
 1.408600+3 5.000000-1 1.269100-1 9.910000-3 3.060000-2 8.640300-29440 2151  102
 1.426100+3 5.000000-1 7.264000-2 3.663000-2 3.060000-2 5.409900-39440 2151  103
 1.429000+3 5.000000-1 4.789000-2 1.512000-2 3.060000-2 2.169700-39440 2151  104
 1.450200+3 5.000000-1 9.722300-2 6.360000-2 3.060000-2 3.023100-39440 2151  105
 1.465600+3 5.000000-1 5.423400-2 2.104000-2 3.060000-2 2.594100-39440 2151  106
 1.481200+3 5.000000-1 4.271500-2 9.240000-3 3.060000-2 2.875500-39440 2151  107
