 1.960000+7 7.743900-1 1.970000+7 7.708800-1 1.980000+7 7.674300-1 228 3  1   88
 1.990000+7 7.640100-1 2.000000+7 7.606500-1                       228 3  1   89
 0.000000+0 0.000000+0          0          0          0          0 228 3  099999
 2.004000+3 3.968219+0          0          0          0          0 228 3  2    1
 0.000000+0 0.000000+0          0          0          1        257 228 3  2    2
        257          2                                             228 3  2    3
 1.000000-5 7.591600-1 2.530000-2 7.591600-1 1.000000+0 7.591600-1 228 3  2    4
 1.000000+1 7.591600-1 1.000000+2 7.591600-1 1.000000+3 7.591100-1 228 3  2    5
 5.000000+3 7.589100-1 1.000000+4 7.587200-1 2.000000+4 7.584900-1 228 3  2    6
 4.000000+4 7.587500-1 6.000000+4 7.600300-1 8.000000+4 7.624300-1 228 3  2    7
 1.000000+5 7.660900-1 1.500000+5 7.815800-1 2.000000+5 8.081700-1 228 3  2    8
 2.500000+5 8.489900-1 3.000000+5 9.080800-1 3.500000+5 9.905900-1 228 3  2    9
 4.000000+5 1.103000+0 4.500000+5 1.253600+0 5.000000+5 1.452500+0 228 3  2   10
 5.500000+5 1.711400+0 6.000000+5 2.043800+0 6.250000+5 2.241800+0 228 3  2   11
 6.500000+5 2.463000+0 6.750000+5 2.708700+0 7.000000+5 2.979500+0 228 3  2   12
 7.250000+5 3.275500+0 7.500000+5 3.595800+0 7.750000+5 3.938600+0 228 3  2   13
 8.000000+5 4.300600+0 8.250000+5 4.677000+0 8.500000+5 5.061600+0 228 3  2   14
 8.750000+5 5.446900+0 9.000000+5 5.824100+0 9.250000+5 6.184200+0 228 3  2   15
 9.500000+5 6.518000+0 9.750000+5 6.817300+0 1.000000+6 7.075200+0 228 3  2   16
 1.025000+6 7.286700+0 1.050000+6 7.449400+0 1.075000+6 7.562700+0 228 3  2   17
 1.100000+6 7.628500+0 1.125000+6 7.650100+0 1.150000+6 7.632100+0 228 3  2   18
 1.175000+6 7.579800+0 1.200000+6 7.498700+0 1.225000+6 7.394500+0 228 3  2   19
 1.250000+6 7.272100+0 1.275000+6 7.136200+0 1.300000+6 6.990900+0 228 3  2   20
 1.325000+6 6.839500+0 1.350000+6 6.685000+0 1.375000+6 6.529500+0 228 3  2   21
 1.400000+6 6.374800+0 1.450000+6 6.073500+0 1.500000+6 5.788200+0 228 3  2   22
 1.550000+6 5.522600+0 1.600000+6 5.277900+0 1.650000+6 5.053900+0 228 3  2   23
 1.700000+6 4.849600+0 1.750000+6 4.663600+0 1.800000+6 4.494300+0 228 3  2   24
 1.850000+6 4.340100+0 1.900000+6 4.199600+0 1.950000+6 4.071300+0 228 3  2   25
 2.000000+6 3.954100+0 2.050000+6 3.846700+0 2.100000+6 3.748200+0 228 3  2   26
 2.150000+6 3.657600+0 2.200000+6 3.574100+0 2.250000+6 3.497100+0 228 3  2   27
 2.300000+6 3.425900+0 2.350000+6 3.359800+0 2.400000+6 3.298600+0 228 3  2   28
 2.450000+6 3.241600+0 2.500000+6 3.188500+0 2.550000+6 3.138900+0 228 3  2   29
 2.600000+6 3.092500+0 2.650000+6 3.049100+0 2.700000+6 3.008400+0 228 3  2   30
 2.750000+6 2.970100+0 2.800000+6 2.934000+0 2.850000+6 2.900000+0 228 3  2   31
 2.900000+6 2.867900+0 2.950000+6 2.837500+0 3.000000+6 2.808700+0 228 3  2   32
 3.100000+6 2.755400+0 3.200000+6 2.707000+0 3.300000+6 2.662700+0 228 3  2   33
 3.400000+6 2.622100+0 3.500000+6 2.584400+0 3.600000+6 2.549400+0 228 3  2   34
 3.700000+6 2.516500+0 3.800000+6 2.485500+0 3.900000+6 2.456100+0 228 3  2   35
 4.000000+6 2.428000+0 4.100000+6 2.401100+0 4.200000+6 2.375300+0 228 3  2   36
 4.300000+6 2.350300+0 4.400000+6 2.326000+0 4.500000+6 2.302400+0 228 3  2   37
 4.600000+6 2.279400+0 4.700000+6 2.256900+0 4.800000+6 2.234900+0 228 3  2   38
 4.900000+6 2.213200+0 5.000000+6 2.191900+0 5.100000+6 2.171000+0 228 3  2   39
 5.200000+6 2.150400+0 5.300000+6 2.130100+0 5.400000+6 2.110000+0 228 3  2   40
 5.500000+6 2.090300+0 5.600000+6 2.070700+0 5.700000+6 2.051500+0 228 3  2   41
 5.800000+6 2.032400+0 5.900000+6 2.013600+0 6.000000+6 1.995000+0 228 3  2   42
 6.100000+6 1.976700+0 6.200000+6 1.958600+0 6.300000+6 1.940700+0 228 3  2   43
 6.400000+6 1.923000+0 6.500000+6 1.905500+0 6.600000+6 1.888300+0 228 3  2   44
 6.700000+6 1.871200+0 6.800000+6 1.854400+0 6.900000+6 1.837800+0 228 3  2   45
 7.000000+6 1.821300+0 7.100000+6 1.805100+0 7.200000+6 1.789100+0 228 3  2   46
 7.300000+6 1.773300+0 7.400000+6 1.757700+0 7.500000+6 1.742300+0 228 3  2   47
 7.600000+6 1.727100+0 7.700000+6 1.712000+0 7.800000+6 1.697200+0 228 3  2   48
 7.900000+6 1.682500+0 8.000000+6 1.668100+0 8.100000+6 1.653800+0 228 3  2   49
 8.200000+6 1.639700+0 8.300000+6 1.625800+0 8.400000+6 1.612000+0 228 3  2   50
 8.500000+6 1.598500+0 8.600000+6 1.585100+0 8.700000+6 1.571800+0 228 3  2   51
 8.800000+6 1.558800+0 8.900000+6 1.545900+0 9.000000+6 1.533200+0 228 3  2   52
 9.100000+6 1.520600+0 9.200000+6 1.508200+0 9.300000+6 1.495900+0 228 3  2   53
 9.400000+6 1.483800+0 9.500000+6 1.471800+0 9.600000+6 1.460000+0 228 3  2   54
 9.700000+6 1.448400+0 9.800000+6 1.436900+0 9.900000+6 1.425500+0 228 3  2   55
 1.000000+7 1.414200+0 1.010000+7 1.403200+0 1.020000+7 1.392200+0 228 3  2   56
 1.030000+7 1.381400+0 1.040000+7 1.370700+0 1.050000+7 1.360100+0 228 3  2   57
 1.060000+7 1.349700+0 1.070000+7 1.339300+0 1.080000+7 1.329200+0 228 3  2   58
 1.090000+7 1.319100+0 1.100000+7 1.309100+0 1.110000+7 1.299300+0 228 3  2   59
 1.120000+7 1.289600+0 1.130000+7 1.280000+0 1.140000+7 1.270500+0 228 3  2   60
 1.150000+7 1.261200+0 1.160000+7 1.251900+0 1.170000+7 1.242800+0 228 3  2   61
 1.180000+7 1.233700+0 1.190000+7 1.224800+0 1.200000+7 1.216000+0 228 3  2   62
 1.210000+7 1.207200+0 1.220000+7 1.198600+0 1.230000+7 1.190100+0 228 3  2   63
 1.240000+7 1.181700+0 1.250000+7 1.173300+0 1.260000+7 1.165100+0 228 3  2   64
 1.270000+7 1.157000+0 1.280000+7 1.148900+0 1.290000+7 1.141000+0 228 3  2   65
 1.300000+7 1.133100+0 1.310000+7 1.125400+0 1.320000+7 1.117700+0 228 3  2   66
 1.330000+7 1.110100+0 1.340000+7 1.102600+0 1.350000+7 1.095200+0 228 3  2   67
 1.360000+7 1.087800+0 1.370000+7 1.080600+0 1.380000+7 1.073400+0 228 3  2   68
 1.390000+7 1.066400+0 1.400000+7 1.059400+0 1.410000+7 1.052500+0 228 3  2   69
 1.420000+7 1.045600+0 1.430000+7 1.038900+0 1.440000+7 1.032200+0 228 3  2   70
 1.450000+7 1.025600+0 1.460000+7 1.019000+0 1.470000+7 1.012600+0 228 3  2   71
 1.480000+7 1.006200+0 1.490000+7 9.999000-1 1.500000+7 9.936700-1 228 3  2   72
 1.510000+7 9.875100-1 1.520000+7 9.814200-1 1.530000+7 9.754000-1 228 3  2   73
 1.540000+7 9.694500-1 1.550000+7 9.635700-1 1.560000+7 9.577600-1 228 3  2   74
 1.570000+7 9.520100-1 1.580000+7 9.463400-1 1.590000+7 9.407200-1 228 3  2   75
 1.600000+7 9.351800-1 1.610000+7 9.297000-1 1.620000+7 9.242800-1 228 3  2   76
 1.630000+7 9.189300-1 1.640000+7 9.136400-1 1.650000+7 9.084100-1 228 3  2   77
 1.660000+7 9.032400-1 1.670000+7 8.981400-1 1.680000+7 8.931000-1 228 3  2   78
 1.690000+7 8.881100-1 1.700000+7 8.831900-1 1.710000+7 8.783200-1 228 3  2   79
 1.720000+7 8.735200-1 1.730000+7 8.687700-1 1.740000+7 8.640800-1 228 3  2   80
 1.750000+7 8.594400-1 1.760000+7 8.548600-1 1.770000+7 8.503400-1 228 3  2   81
 1.780000+7 8.458700-1 1.790000+7 8.414600-1 1.800000+7 8.371000-1 228 3  2   82
 1.810000+7 8.328000-1 1.820000+7 8.285500-1 1.830000+7 8.243500-1 228 3  2   83
 1.840000+7 8.202100-1 1.850000+7 8.161100-1 1.860000+7 8.120700-1 228 3  2   84
 1.870000+7 8.080800-1 1.880000+7 8.041400-1 1.890000+7 8.002500-1 228 3  2   85
 1.900000+7 7.964100-1 1.910000+7 7.926200-1 1.920000+7 7.888800-1 228 3  2   86
 1.930000+7 7.851800-1 1.940000+7 7.815400-1 1.950000+7 7.779400-1 228 3  2   87
 1.960000+7 7.743900-1 1.970000+7 7.708800-1 1.980000+7 7.674300-1 228 3  2   88
 1.990000+7 7.640100-1 2.000000+7 7.606500-1                       228 3  2   89
 0.000000+0 0.000000+0          0          0          0          0 228 3  099999
 0.000000+0 0.000000+0          0          0          0          0 228 0  0    0
 2.004000+3 3.968219+0          0          1          0          0 228 4  2    1
